,ID,sex,d15N,d13C
Xchhec,JAC8,NA,9.514397125,-18.54837858
Lchaur,JAD2,NA,7.744200744,-19.5656049
Gwcabe,JAD3,NA,8.881718381,-19.68083164
TelteS,JAD5,NA,7.267166316,-15.85765213
Xenspi,JAD6,NA,8.788344888,-17.30363576
Baicen,JAG3,M,8.207572117,-20.33080878
Regcal,JAG4,M,7.680851824,-19.32209579
Regcal,JAH6,M,5.763368428,-20.22323574
Gwcabe,JAI5,M,8.592126455,-19.66562782
Gwcabe,JAI6,M,8.790802527,-20.03231922
Gwcabe,JAI7,F,8.71242583,-19.71677215
Batvit,JAI8,F,8.629127741,-20.08169647
Lchaur,JCA1,NA,8.10198655,-20.13092278
Batvit,JCB5,F,8.655953485,-19.60496005
Gwcchr,JCB6,NA,8.752108534,-19.92108103
Simdia,JAE2,F,8.547509585,-16.12358186
Altfas,JAE3,NA,7.14363188,-18.12566522
Baicen,JCC6,M,8.398258273,-19.86275917
Baicen,JCC7,M,8.72804386,-20.08071261
Baicen,JCC8,M,8.015862743,-20.44558448
Baicen,JCC9,F,8.439135403,-19.17295695
Baicen,JCD1,NA,7.875774886,-19.95740699
Regcal,JCD3,M?,7.99571692,-19.30988601
Regcal,JCD4,M,6.42864083,-19.76784241
Regcal,JCD5,M,6.788902838,-19.63024757
Benmel,JCD6,M,6.120503239,-20.88625533
Benmel,JCD7,M,5.595230019,-21.17820585
Gwcabe,JCD8,NA,8.986285221,-19.94109695
Lchaur,JCD9,NA,8.493583175,-20.20684142
Lchaur,JCE1,NA,8.353939964,-19.75972772
Xencau,JCE2,NA,8.446305907,-20.94869312
Xencau,JCE3,NA,7.100859438,-19.99238809
Gwcchr,JCE4,NA,9.061166984,-19.94990266
Gwcchr,JCE6,NA,8.848146618,-19.82514713
Gwcchr,JCE7,NA,9.127371993,-19.80482407
Gwcchr,JCE8,NA,8.524321681,-19.52357372
Chando,KEG3,F,5.89381877,-15.02463743
Neospl,88-05-b,NA,5.911950851,-23.29328747
Lammel,88-11-a,NA,7.329448957,-20.09455588
Neonve,90-92-b,NA,7.056090348,-19.75193469
Neopec,93-60-8,NA,7.027263389,-21.07758688
Simbab,JUA1,M,6.322308555,-15.70601477
Tylpol,JCE9,M,6.676724322,-12.92060626
Oretan,JCF1,M,8.232148393,-24.09705677
Oretan,JCF4,NA,6.254960111,-18.35399367
Pleela,LBA9,F,6.289505485,-21.58585652
Batleo,LBB2,F,8.160858607,-20.39751402
Batvit,LBB3,M,8.857898865,-20.74794984
Batvit,LBB4,F,8.883644817,-19.80051698
Hemste,LBB5,M,7.865969639,-20.8167579
Hemste,LBB6,F,6.645890233,-21.71055403
Hemste,LBB7,F,6.24348099,-21.67265053
Tremac,LBC1,F,8.522698861,-20.00521543
Xensim,LBC2,F,6.851575127,-13.76437869
Xchhec,LBC3,NA,8.225578796,-19.79470324
Perecc,LBC4,NA,9.138087715,-19.95888907
Batvit,LBD3,M,9.141597463,-19.48957707
Xchhec,LBD4,M,6.334564792,-21.63170542
Hemste,LBD5,F,7.955701741,-20.74262944
Hemste,LBD6,F,6.860654423,-21.03457603
Tremar,LBD8,M,6.022432944,-16.79032751
Trenig,LBD9,M,6.98700919,-20.36610371
Trenig,LBE1,F,7.707909602,-19.57037748
Xensim,LBE2,M,5.91860629,-14.06358659
Xensim,LBE3,M,6.53340314,-15.39064964
Xensim,LBE4,M,5.4438303,-12.62555594
Xensim,LBE5,M,6.412589048,-15.58336975
Xensim,LBE6,M,6.480074871,-16.52283701
Xensim,LBE9,F,5.853371857,-14.22376735
Neogra,93-03-a,NA,6.189289282,-21.16505622
Xensim,LBF1,F,6.096300665,-14.8722283
Xensim,LBF2,F,6.063103044,-14.1940564
Baicen,LBF4,F,8.469485368,-19.99204504
Baicen,LBF5,M,7.925191937,-20.70721897
Plemul,LBF6,F,8.880573223,-19.87776692
Perecc,LBG2,M,9.263017735,-19.20830197
Bentri,LDA7,M,6.192251485,-22.06757781
Bentri,LDA8,M,6.495943838,-22.16680981
Bentri,LDA9,F,5.757911604,-21.96583212
Bentri,LDB2,M,6.724808818,-21.80110087
Bentri,LDB3,M,6.014631483,-22.24657383
Bentri,LDB4,M,6.372470019,-22.43493952
Bentri,LDB5,M,5.889721955,-22.21519845
