spp	Tribe	id	Pair_bonding	Sex_caregiver	sex	OT	VT	OTRa	OTRb	VTR1Aa	VTR1Ab	VTR2Aa	VTR2Ab	VTR2Ba	VTR2Bb	d15N	d13C
Petfam	Tropheini	IYA7_HAF6	0	0	M	7.80556396734105	6.7033028444135	3.57575402790581	2.55247519856591	1.5197300917968	1.53191738845523	2.43829923988253	2.79119665308583	2.75648384237315	0.949778667193184	-1.61601753444823	1.81150131164751
Petfam	Tropheini	LNG9_MTI8	0	0	M	8.6534760364445	5.53369633664065	3.2154749898624	3.26893541701844	3.20303949022503	0.449465235758801	1.99613308835947	1.29654903211617	3.27096721589196	1.1763629888001	-1.61601753444823	1.81150131164751
Petfam	Tropheini	LNG8_MTH7	0	0	F	7.16956127622096	6.21423381954194	3.53879638541486	2.75474643175147	2.57868274783666	1.14237291767049	2.22937011779527	1.98568476289467	3.08328571397394	1.69653605766347	-1.61601753444823	1.81150131164751
Petfam	Tropheini	LNH1_MWB1	0	0	F	6.48054093355056	5.65170642565059	3.73474971710826	3.21813591723151	3.29661099298844	1.57864507364425	2.8009228793462	1.82560817930617	3.37944823860934	0	-1.61601753444823	1.81150131164751
Petfas	Tropheini	LNA5_MAC2	1	0	F	7.28472695356038	5.57101962131494	3.20871311218349	3.0209131984823	2.73075514956587	1.15308348379823	2.23073301111161	1.01142980006185	2.65798566187911	2.72798251633571	-1.28214614224398	1.12587921303734
Petfas	Tropheini	LPB1_NAE4	1	0	M	7.28977361402669	5.29183153946232	3.89836703056059	2.20456425842051	3.38101599224586	1.38044520293237	2.50671871787567	0.712711279463189	3.22507683880778	2.70653430983934	-1.28214614224398	1.12587921303734
Petfas	Tropheini	LPB4_NAH7	1	0	M	7.33008327932655	5.79523835794202	3.10228271309081	2.35748303510904	3.30211327125375	1.67759889411085	2.56653535361385	1.29878850412076	2.6335158397823	2.26005456981032	-1.28214614224398	1.12587921303734
Petfas	Tropheini	LPA9_NAD3	1	0	F	8.21394601202253	6.63424838013121	3.17568459005257	2.6047154096482	2.26472287339887	1.40720371481222	2.24239031584078	1.21200896011356	2.21735791598222	1.53531096525197	-1.28214614224398	1.12587921303734
Petfas	Tropheini	LPB3_NAG6	1	0	F	4.55987170958661	3.05258717793365	3.44138228553105	3.10715069178061	3.54528762207782	1.30522870627837	2.66180705112415	0.910178499198091	2.99374626829897	1.01029289175617	-1.28214614224398	1.12587921303734
Petmac	Tropheini	LOI2_NPI8	NA	0	M	8.51216010816582	7.67467249794188	2.59738338128874	2.01904890714799	2.63390660524589	1.141226770355	1.9324875653507	1.6330498513556	2.74592634761752	1.02790069009561	-1.16753806505023	2.21200715083652
Petmac	Tropheini	MOH4_NWG6	NA	0	F	8.81890742620871	7.62623104067452	2.21095703972668	2.21915674647338	2.35485890148737	0.519187603208373	1.65564537573717	0.28181716184028	1.34370571162081	1.31796447699244	-1.16753806505023	2.21200715083652
Petmac	Tropheini	LOI3_NQB1	NA	0	M	8.02216471166177	5.72214876062244	3.0265989531109	1.71592235591022	2.46191694523368	1.45432120843329	2.29183721091589	1.1081142549032	2.35602715008936	0.999886022589603	-1.16753806505023	2.21200715083652
Petmac	Tropheini	LOH9_NPG6	NA	0	F	7.74938744318436	7.36125690495258	3.28478638959157	2.89108725103033	2.32584171861592	1.30946493047061	2.44402481330922	0.880915397903935	1.99996898172317	1.67096584126601	-1.16753806505023	2.21200715083652
Petmac	Tropheini	LOI1_NPH7	NA	0	M	8.23965867012135	7.49254782714013	3.36268561058657	2.51391288056828	2.87341989718345	0.835884227841078	2.73444690389149	1.35825502397658	3.17822542806003	0	-1.16753806505023	2.21200715083652
Petmac	Tropheini	MOF6_NUI8	NA	0	F	6.94916720902278	5.92831323001657	3.09598027062021	2.8676363601807	2.18962501838089	0.913536208185399	2.40638782167667	0.91088129787859	2.55602616476794	0	-1.16753806505023	2.21200715083652
Petpol	Tropheini	RKB3_QQC2	0	0	F	8.3415477324516	7.36171309949194	2.76609898436609	2.87954737476267	2.55591478492253	1.64101231817491	2.53934271973403	0.768513719303501	2.29311441401312	0	-1.4638507601055	2.20172174774389
Petpol	Tropheini	RKC1_QRB1	0	0	M	7.6387776311384	6.16115546991041	3.16161894532299	3.03659230158567	3.38146722825586	1.41133675246894	2.76922142172235	1.27330103597333	1.42434596981074	2.56178166530198	-1.4638507601055	2.20172174774389
Petpol	Tropheini	RKC2_QRC2	0	0	M	10.0205688719428	7.6047785572966	2.67994033729285	2.76782130232946	2.83427555077067	0.976774424527877	1.86350002647454	1.5501776588282	1.33784236997703	2.44610877627409	-1.4638507601055	2.20172174774389
Petpol	Tropheini	RKB5_QQE4	0	0	F	3.46531106396341	2.9498144806211	3.10043342374323	2.48003473783935	2.50733468009582	1.23646628991326	3.06934660399497	1.36515499537551	1.87788046533572	1.35522210711419	-1.4638507601055	2.20172174774389
Petpol	Tropheini	RKB4_QQD3	0	0	F	7.70680403639875	6.63192102523229	3.25031357915386	2.64747914930717	3.27859962078775	1.48516557266462	3.02640879696275	0.442001927984488	2.96636124729361	1.79961536846678	-1.4638507601055	2.20172174774389
Petpol	Tropheini	RKC3_QRD3	0	0	M	8.86003040442457	5.6955356624318	3.01289096453455	2.247370981416	2.0348594307243	1.34316218788749	2.24520934676137	1.01485229436415	1.77639965760375	1.86761145416419	-1.4638507601055	2.20172174774389
Plepar	Perissodini	OMI7_QHG6	1	1	M	8.2998385444145	7.69977925656291	3.04864458913059	1.82990434469211	1.78709515541851	0.360404171356185	3.1085856759297	1.2710467246477	1.8824908492332	1.56390101248994	2.20383269850309	0.0675640347178763
Plepar	Perissodini	OMG9_QFH7	1	1	M	7.24769210715325	6.7246802820968	3.46096792633856	2.59187230586581	1.92858938756428	0.491800363259204	1.85200682986062	1.77721517236322	2.27685930376676	0	2.20383269850309	0.0675640347178763
Plepar	Perissodini	OMH2_QHB1	1	1	F	7.66360648972538	6.46331903004966	3.17809377431573	3.07440884243642	1.66464075449137	1.52833626794955	2.33237424945179	2.24922960336328	2.44918259268424	1.05846958979847	2.20383269850309	0.0675640347178763
