Default schedule
Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.355000	0.934272	1000	0.355000	0.355000	0.318884	
1000	0.360000	0.934272	1000	0.360000	0.360000	0.319058	
1000	0.275000	0.934272	1000	0.275000	0.275000	0.318873	
1000	0.332000	0.934272	1000	0.332000	0.332000	0.318928	
1000	0.284000	0.934272	1000	0.284000	0.284000	0.318782	
1000	0.339000	0.934272	1000	0.339000	0.339000	0.318866	
1000	0.296000	0.934272	1000	0.296000	0.296000	0.318771	
1000	0.279000	0.934272	1000	0.279000	0.279000	0.318608	
1000	0.331000	0.934272	1000	0.331000	0.331000	0.318659	
1000	0.311000	0.934272	1000	0.311000	0.311000	0.318627	
1000	0.317000	0.934272	1000	0.317000	0.317000	0.318621	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.318622	
1000	0.335000	0.934272	1000	0.335000	0.335000	0.318688	
1000	0.323000	0.934272	1000	0.323000	0.323000	0.318706	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.318663	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.318664	
1000	0.350000	0.934272	1000	0.350000	0.350000	0.318788	
1000	0.303000	0.934272	1000	0.303000	0.303000	0.318726	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.318802	
1000	0.328000	0.934272	1000	0.328000	0.328000	0.318838	
1000	0.328000	0.934272	1000	0.328000	0.328000	0.318874	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.318863	
1000	0.301000	0.934272	1000	0.301000	0.301000	0.318793	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.318775	
1000	0.326000	0.934272	1000	0.326000	0.326000	0.318803	
1000	0.336000	0.934272	1000	0.336000	0.336000	0.318869	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.318827	
1000	0.282000	0.934272	1000	0.282000	0.282000	0.318687	
1000	0.321000	0.934272	1000	0.321000	0.321000	0.318696	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.318738	
1000	0.320000	0.934272	1000	0.320000	0.320000	0.318743	
1000	0.353000	0.934272	1000	0.353000	0.353000	0.318871	
1000	0.358000	0.934272	1000	0.358000	0.358000	0.319017	
1000	0.342000	0.934272	1000	0.342000	0.342000	0.319103	
1000	0.300000	0.934272	1000	0.300000	0.300000	0.319032	
1000	0.325000	0.934272	1000	0.325000	0.325000	0.319054	
1000	0.329000	0.934272	1000	0.329000	0.329000	0.319091	
1000	0.347000	0.934272	1000	0.347000	0.347000	0.319193	
1000	0.333000	0.934272	1000	0.333000	0.333000	0.319243	
1000	0.332000	0.934272	1000	0.332000	0.332000	0.319290	
1000	0.352000	0.934272	1000	0.352000	0.352000	0.319408	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.319447	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.319484	
1000	0.307000	0.934272	1000	0.307000	0.307000	0.319440	
1000	0.286000	0.934272	1000	0.286000	0.286000	0.319320	
1000	0.309000	0.934272	1000	0.309000	0.309000	0.319284	
1000	0.254000	0.934272	1000	0.254000	0.254000	0.319052	
1000	0.313000	0.934272	1000	0.313000	0.313000	0.319031	
1000	0.310000	0.934272	1000	0.310000	0.310000	0.318999	
1000	0.326000	0.934272	1000	0.326000	0.326000	0.319023	
1000	0.312000	0.934272	1000	0.312000	0.312000	0.318999	
1000	0.318000	0.934272	1000	0.318000	0.318000	0.318995	
1000	0.335000	0.934272	1000	0.335000	0.335000	0.319051	
1000	0.294000	0.934272	1000	0.294000	0.294000	0.318964	
1000	0.310000	0.934272	1000	0.310000	0.310000	0.318933	
1000	0.323000	0.934272	1000	0.323000	0.323000	0.318947	
1000	0.325000	0.934272	1000	0.325000	0.325000	0.318968	
1000	0.308000	0.934272	1000	0.308000	0.308000	0.318931	
1000	0.341000	0.934272	1000	0.341000	0.341000	0.319006	
1000	0.338000	0.934272	1000	0.338000	0.338000	0.319070	
1000	0.309000	0.934272	1000	0.309000	0.309000	0.319036	
1000	0.293000	0.934272	1000	0.293000	0.293000	0.318948	
1000	0.282000	0.934272	1000	0.282000	0.282000	0.318824	
1000	0.316000	0.934272	1000	0.316000	0.316000	0.318815	
1000	0.321000	0.934272	1000	0.321000	0.321000	0.318822	
1000	0.320000	0.934272	1000	0.320000	0.320000	0.318826	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.318827	
1000	0.286000	0.934272	1000	0.286000	0.286000	0.318718	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.318706	
1000	0.305000	0.934272	1000	0.305000	0.305000	0.318661	
1000	0.362000	0.934272	1000	0.362000	0.362000	0.318803	
1000	0.352000	0.934272	1000	0.352000	0.352000	0.318911	
1000	0.305000	0.934272	1000	0.305000	0.305000	0.318866	
1000	0.314000	0.934272	1000	0.314000	0.314000	0.318850	
1000	0.322000	0.934272	1000	0.322000	0.322000	0.318860	
1000	0.295000	0.934272	1000	0.295000	0.295000	0.318784	
1000	0.315000	0.934272	1000	0.315000	0.315000	0.318771	
1000	0.321000	0.934272	1000	0.321000	0.321000	0.318779	
1000	0.336000	0.934272	1000	0.336000	0.336000	0.318833	
1000	0.359000	0.934272	1000	0.359000	0.359000	0.318961	
1000	0.330000	0.934272	1000	0.330000	0.330000	0.318996	
1000	0.320000	0.934272	1000	0.320000	0.320000	0.318999	
1000	0.287000	0.934272	1000	0.287000	0.287000	0.318898	
1000	0.320000	0.934272	1000	0.320000	0.320000	0.318902	
1000	0.319000	0.934272	1000	0.319000	0.319000	0.318902	
1000	0.358000	0.934272	1000	0.358000	0.358000	0.319024	
1000	0.329000	0.934272	1000	0.329000	0.329000	0.319055	
1000	0.337000	0.934272	1000	0.337000	0.337000	0.319110	
