Options:
Model:                           Discrete: Independent
Tree File Name:                  ./OTVT/Pair_bonding/phyl_tree/trees_translated/OT_9.nex
Data File Name:                  /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt
Log File Name:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2974659746
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10000000
Burn in:                         100000
MCMC ML Start:                   False
Schedule File:                   /Users/psorigue/fil/BayesTraitsV4/OTVT/Pair_bonding/phyl_tree/10e7/runs//OT_9_ind.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - uniform 0.00 100.00 
        beta1 - uniform 0.00 100.00 
        alpha2 - uniform 0.00 100.00 
        beta2 - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       166
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
248000	-102.001259	1	0.969589	92.313436	0.133713	0.154680	0.177705	0.322295	0.177705	0.322295	
249000	-103.084633	1	0.911195	61.969132	0.196917	0.144925	0.264330	0.235670	0.264330	0.235670	
250000	-102.589561	1	0.094979	56.878765	0.163485	0.146227	0.229855	0.270145	0.229855	0.270145	
251000	-104.153499	1	2.485582	86.234623	0.116134	0.164313	0.138403	0.361597	0.138403	0.361597	
252000	-101.983362	1	0.825505	85.752970	0.127517	0.145470	0.176863	0.323137	0.176863	0.323137	
253000	-103.778002	1	0.268195	34.829887	0.194164	0.233248	0.207110	0.292890	0.207110	0.292890	
254000	-111.006541	1	0.857605	14.399098	0.045974	0.164217	0.015093	0.484907	0.015093	0.484907	
255000	-103.650931	1	0.981386	73.093188	0.089963	0.110429	0.141752	0.358248	0.141752	0.358248	
256000	-103.028638	1	1.010226	64.437536	0.202562	0.176008	0.236441	0.263559	0.236441	0.263559	
257000	-109.263094	1	1.111749	48.331902	0.323832	0.337906	0.244231	0.255769	0.244231	0.255769	
258000	-102.159012	1	0.241082	34.942990	0.176914	0.178131	0.213670	0.286330	0.213670	0.286330	
259000	-102.761718	1	0.726751	49.934356	0.103342	0.130686	0.144089	0.355911	0.144089	0.355911	
260000	-104.357969	1	0.964193	75.608842	0.276069	0.214747	0.249671	0.250329	0.249671	0.250329	
261000	-102.025023	1	0.278920	39.045707	0.172390	0.165184	0.219165	0.280835	0.219165	0.280835	
262000	-103.919666	1	1.134709	46.838063	0.174574	0.191197	0.203869	0.296131	0.203869	0.296131	
263000	-103.080744	1	1.701975	91.296425	0.100374	0.153894	0.113387	0.386613	0.113387	0.386613	
264000	-103.987190	1	0.663287	35.947586	0.238166	0.191049	0.246997	0.253003	0.246997	0.253003	
265000	-102.119820	1	0.048015	16.841273	0.125123	0.143427	0.174863	0.325137	0.174863	0.325137	
266000	-103.303854	1	0.095860	66.174289	0.150053	0.119437	0.258656	0.241344	0.258656	0.241344	
267000	-102.625360	1	0.405493	65.653019	0.213527	0.183412	0.238621	0.261379	0.238621	0.261379	
268000	-104.970437	1	1.542969	45.955239	0.131372	0.125661	0.214476	0.285524	0.214476	0.285524	
269000	-102.048299	1	0.179579	39.570727	0.110303	0.154599	0.133981	0.366019	0.133981	0.366019	
270000	-104.110825	1	1.213844	53.257366	0.144335	0.116020	0.257764	0.242236	0.257764	0.242236	
271000	-106.095180	1	0.184322	48.334565	0.245284	0.099799	0.386386	0.113614	0.386386	0.113614	
272000	-101.954620	1	0.324929	76.510550	0.119546	0.152240	0.154564	0.345436	0.154564	0.345436	
273000	-103.984642	1	1.223858	89.856949	0.169964	0.225936	0.188196	0.311804	0.188196	0.311804	
274000	-106.038815	1	0.713316	55.802536	0.333765	0.189731	0.268981	0.231019	0.268981	0.231019	
275000	-102.967387	1	0.700861	54.930579	0.175553	0.128619	0.271558	0.228442	0.271558	0.228442	
276000	-102.661472	1	0.543230	50.597614	0.206636	0.171329	0.242877	0.257123	0.242877	0.257123	
277000	-103.692826	1	1.538084	93.931959	0.075355	0.125742	0.075078	0.424922	0.075078	0.424922	
278000	-102.755884	1	0.844888	46.911617	0.132015	0.164804	0.166104	0.333896	0.166104	0.333896	
279000	-103.538905	1	0.959883	37.978038	0.152692	0.160287	0.200519	0.299481	0.200519	0.299481	
280000	-105.450010	1	2.119807	59.287315	0.205522	0.171557	0.241933	0.258067	0.241933	0.258067	
281000	-102.191983	1	0.268050	98.571887	0.161127	0.166540	0.205518	0.294482	0.205518	0.294482	
282000	-105.234899	1	1.441913	96.079541	0.285016	0.246577	0.244123	0.255877	0.244123	0.255877	
283000	-102.625433	1	0.715425	41.071473	0.131724	0.156576	0.172553	0.327447	0.172553	0.327447	
284000	-102.859260	1	1.153583	91.027028	0.123668	0.187332	0.139891	0.360109	0.139891	0.360109	
285000	-102.351888	1	0.144493	45.179032	0.161899	0.136610	0.241932	0.258068	0.241932	0.258068	
286000	-105.118388	1	0.955872	82.767527	0.169817	0.089437	0.370188	0.129812	0.370188	0.129812	
287000	-104.497548	1	1.667901	63.917269	0.206143	0.146740	0.268670	0.231330	0.268670	0.231330	
288000	-103.548763	1	2.134626	83.082073	0.136603	0.154071	0.183054	0.316946	0.183054	0.316946	
289000	-105.691406	1	0.403167	43.623581	0.336973	0.203639	0.263086	0.236914	0.263086	0.236914	
290000	-104.141254	1	0.433453	35.717603	0.055732	0.154436	0.025934	0.474066	0.025934	0.474066	
291000	-102.635208	1	0.110143	54.935540	0.177607	0.180710	0.212651	0.287349	0.212651	0.287349	
292000	-106.188527	1	1.741750	82.300311	0.114977	0.085266	0.296362	0.203638	0.296362	0.203638	
293000	-103.155947	1	0.387894	31.260479	0.074414	0.146601	0.059952	0.440048	0.059952	0.440048	
294000	-103.141769	1	1.348984	87.224438	0.199013	0.192365	0.223829	0.276171	0.223829	0.276171	
295000	-103.545531	1	0.363706	60.470276	0.169910	0.107594	0.314039	0.185961	0.314039	0.185961	
296000	-103.881974	1	0.383702	78.767816	0.253958	0.152270	0.285628	0.214372	0.285628	0.214372	
297000	-102.431894	1	0.461544	73.612756	0.116190	0.180809	0.129739	0.370261	0.129739	0.370261	
298000	-102.461873	1	0.508652	93.924206	0.203469	0.179967	0.234294	0.265706	0.234294	0.265706	
299000	-103.710249	1	0.048198	80.562251	0.161629	0.188556	0.191676	0.308324	0.191676	0.308324	
300000	-106.656339	1	0.862835	66.860950	0.310720	0.295625	0.243830	0.256170	0.243830	0.256170	
301000	-103.684885	1	0.198164	54.766164	0.146035	0.220177	0.163005	0.336995	0.163005	0.336995	
302000	-102.256613	1	0.503541	84.844567	0.094348	0.143582	0.107603	0.392397	0.107603	0.392397	
303000	-102.414159	1	0.423324	37.841863	0.185523	0.174484	0.224134	0.275866	0.224134	0.275866	
304000	-104.710391	1	1.911842	80.669434	0.244110	0.174489	0.260315	0.239685	0.260315	0.239685	
305000	-102.024912	1	0.847882	86.957891	0.133935	0.164867	0.169167	0.330833	0.169167	0.330833	
306000	-103.719161	1	0.678522	53.189768	0.218999	0.134910	0.295010	0.204990	0.295010	0.204990	
307000	-106.008075	1	0.143005	63.988846	0.233159	0.099075	0.384576	0.115424	0.384576	0.115424	
308000	-104.813658	1	0.759354	64.732623	0.296059	0.183679	0.268166	0.231834	0.268166	0.231834	
309000	-103.502646	1	0.807250	66.085968	0.226116	0.146877	0.280652	0.219348	0.280652	0.219348	
310000	-103.374862	1	0.379690	29.960738	0.180311	0.213883	0.200494	0.299506	0.200494	0.299506	
311000	-103.709949	1	0.076591	62.616533	0.229341	0.185089	0.246324	0.253676	0.246324	0.253676	
