,OT,VT,OTRa,OTRb.tr1,OTRb.tr2,OTRb.tr3,VTR1Aa.tr1,VTR1Aa.tr2,VTR1Ab,VTR2Aa,VTR2Ab.tr1,VTR2Ab.tr2,VTR2Ab.tr3,VTR2Ba,VTR2Bb.tr1,VTR2Bb.tr2
neotre_KFH5,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neovar_JWA5,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neovar_JWA6,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
neoveB_KAG7,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0
neoveB_KAG8,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0
neoveS_JED4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
neoveS_JED5,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
neowal_KFD2,0,0,0,0,0,0,0,0,0,0,10,10,26,0,1,0
neowal_KFD4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ophboo_LFI4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ophboo_LFI6,0,0,0,0,0,0,0,0,0,0,19,19,19,0,0,0
ophhet_Bel06,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0
ophhet_Bel12,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
ophnas_AXH6,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
ophnas_AXH8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,1,0
ophpar_JYF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ophpar_JYG5,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0
ophven_IQD3,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
ophven_IQE4,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
ophwhi_LGH1,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0
ophwhi_LGH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ortcho_HXC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ortcho_HXC7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ortmaz_KDC6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
